,Degree,Closeness Centrality,Betweenness Centrality,Eccentricity,Page Rank,Eigen Value Centrality,Death
Scolera,2,0.003215434,0,7,0.000778986,0.005152447,0
Selyse-Florent,3,0.003246753,0,6,0.00034614,0.041531822,1
Shadd,2,0.003225806,0,7,0.002301441,1.92E-05,0
Shae,3,0.003289474,0,6,0.000343224,0.101530168,1
Shagga,1,0.00310559,0,7,0.000289102,0.035164808,0
Shagwell,2,0.003215434,0,7,0.000224238,0.003926199,0
Sharna,1,0.003205128,0,8,0.000834508,0.000241504,0
Shireen-Baratheon,5,0.003676471,25.72425801,6,0.000533772,0.010046638,1
Shrouded-Lord,4,0.003703704,0,7,0.000278577,0.004193807,0
Sigorn,3,0.003236246,0,6,0.000248605,0.004330177,0
Simon-Toyne,1,0.002469136,0,9,0.000233564,1.02E-08,0
Skinner,19,0.004587156,443.0135843,7,0.015232918,0.000708847,0
Sour-Alyn,6,0.003831418,3.495468214,7,0.00081474,0.001273064,0
Squint,4,0.002695418,105,7,0.00041059,0.000403549,0
Squirrel,6,0.003194888,3.389760739,6,0.001100033,0.001444601,0
Stannis-Baratheon,14,0.003968254,350.6873758,5,0.002095285,0.398705214,1
Stevron-Frey,7,0.003663004,8.556744846,6,0.000255738,0.004419078,1
Stonesnake,4,0.003257329,0.583333333,6,0.000220606,0.006452152,0
Stygg,8,0.003546099,26.30650391,7,0.005212162,0.000536628,0
Styr,18,0.004166667,272.161237,6,0.000587243,0.020760541,1
Sweets,20,0.0041841,148.843899,7,0.00446216,0.007720446,0
Sybell-Spicer,5,0.003134796,105,6,0.000215347,0.004118969,0
Sylva-Santagar,4,0.00255102,0.333333333,7,0.002869167,0.000497673,0
Symon-Silver-Tongue,14,0.003448276,874.8372111,7,0.00110902,0.007698875,0
Symond-Templeton,5,0.003134796,312,7,0.001518524,0.00192546,0
Syrio-Forel,12,0.004347826,107.6349826,7,0.000547523,0.017129342,0
Taena-of-Myr,3,0.00310559,0,6,0.000332519,0.06132434,0
Talbert-Serry,8,0.003496503,35.15540317,8,0.000452308,2.11E-05,0
Tanda-Stokeworth,4,0.003144654,0,7,0.000245548,0.018702561,0
Tansy,4,0.003125,0,7,0.000741937,0.004537208,0
Theomore,12,0.003802281,32.7217293,6,0.000756021,0.001318129,0
Theon-Greyjoy,4,0.003194888,12.20809267,6,0.000257157,0.126954457,0
Thistle,3,0.002967359,1.35025641,7,0.000494908,2.93E-05,0
Timett,4,0.00255102,1,7,0.001729903,0.016086867,0
Tion-Frey,24,0.004524887,556.1852523,7,0.001929448,1.11E-05,1
Tommen-Baratheon,6,0.003731343,131.1036732,6,0.000539317,0.293975452,1
Toregg,18,0.004149378,141.5407634,6,0.000648561,0.003148671,0
Tormund,4,0.00295858,2.261904762,6,0.000501595,0.037972486,0
Tybero-Istarion,26,0.004524887,1279.753353,7,0.000716319,0.00843576,0
Tyrion-Lannister,2,0.003257329,3.20799062,6,0.00043193,1,0
Tywin-Lannister,6,0.002717391,12.96584412,6,0.000413608,0.357698881,1
Vargo-Hoat,6,0.003584229,106.9588272,7,0.001229904,0.018762903,0
Victarion-Greyjoy,9,0.003676471,21.0398865,7,0.000280012,0.002014421,0
Walder-Frey-(son-of-Jammos),5,0.003164557,3.673192663,6,0.000589354,0.002648183,1
Walder-Frey-(son-of-Merrett),2,0.002808989,0,6,0.0008306,0.006486737,1
Waymar-Royce,10,0.003703704,84.67234484,7,0.001296439,0.000165269,0
Weasel,12,0.003378378,40.49072503,7,0.001146709,0.004353046,0
Woth,5,0.003194888,11.08691003,7,0.000916235,0.001713187,0
Yandry,4,0.003460208,47.90724047,7,0.000432125,0.01723547,0
Lyle-Crakehall,7,0.003412969,1.441374269,7,0.001859237,0.00647954,0
Varys,2,0.002538071,0,6,0.003806192,0.362056312,0
Walder-Frey,4,0.003508772,3.470318304,6,0.001044808,0.052034144,1
Torrhen-Stark,7,0.003333333,108.9634921,7,0.000703672,0.002357781,0
Visenya-Targaryen,5,0.003558719,4.651775284,7,0.000214777,2.89E-05,1
Rhaenys-Targaryen-(daughter-of-Rhaegar),4,0.003095975,0,8,0.000520339,0.000124245,1
Viserys-Targaryen,8,0.003921569,23.52841297,6,0.000221467,0.025236702,1
Ysilla,6,0.003355705,40.69501861,7,0.001308197,0.012504765,0
Daeron-II-Targaryen,2,0.003115265,0,6,0.001054806,0.000524588,1
Maekar-I-Targaryen,6,0.003571429,4.244047619,6,0.000235274,0.000263867,1
Wynton-Stout,25,0.004608295,706.5572832,6,0.01857171,0.000263867,0
Wyman-Manderly,18,0.004716981,1165.602517,6,0.001187249,0.0203665,0
Emmond,3,0.003246753,0,8,0.005611278,1.42E-05,0
Gormond-Goodbrother,4,0.003378378,1.46337185,8,0.000231146,2.13E-05,0
Greydon-Goodbrother,15,0.003623188,179.5971781,8,0.000578963,1.42E-05,0
Rus,13,0.003937008,78.81308256,8,0.001523918,1.77E-05,0
Denys-Darklyn,26,0.004807692,705.1985624,7,0.000255395,0.000382568,0
Elbert-Arryn,5,0.003508772,6.96957758,7,0.00025028,0.000286926,0
Owen-Merryweather,1,0.002358491,0,7,0.000538829,0.000286926,0
Rossart,14,0.004524887,571.5247305,7,0.00031666,0.000382568,0
Gelmarr,5,0.00330033,3.886829837,8,0.000618048,4.07E-07,0
Rakharo,36,0.004830918,1101.384972,7,0.000466959,0.002422346,1
Dancy,22,0.004424779,364.7212196,8,0.002935212,3.43E-05,0
Hayhead,4,0.003521127,32.8242342,6,0.001197025,0.002105793,0
Roone,7,0.003355705,5.060887723,7,0.000373823,1.23E-05,0
Tomard,3,0.003508772,87.06103763,7,0.000785863,0.018240335,0
Elys-Waynwood,8,0.003484321,18.21525448,8,0.006068826,1.47E-06,0
Harra,1,0.003067485,0,7,0.000235553,0.001222258,0
Tickler,4,0.003095975,0,7,0.000243754,0.035097239,0
Yoren,4,0.003115265,0.333333333,6,0.000397176,0.033295411,1
Gerald-Gower,2,0.00310559,0,8,0.000602638,1.13E-06,0
Tyene-Sand,5,0.003412969,10.71920465,7,0.002068712,0.000441786,0
Tom-of-Sevenstreams,6,0.003584229,223.2348268,7,0.000324751,0.010940691,0
Yohn-Royce,1,0.00210084,0,7,0.001035565,0.008091685,0
Tattered-Prince,2,0.002808989,0,7,0.00064121,0.000490727,0
Franklyn-Fowler,4,0.003521127,2.6254329,8,0.000430526,1.09E-05,0
Morra,2,0.003164557,0,8,0.000312001,1.09E-05,0
Ricasso,7,0.003731343,6.400940824,8,0.000599178,1.09E-05,0
Timoth,4,0.002949853,0.375746606,8,0.00159731,1.09E-05,0
Arthor-Karstark,5,0.003484321,16.67748923,7,0.002083663,9.69E-06,1
Kraznys-mo-Nakloz,6,0.003322259,0,7,0.00031696,0.001403499,1
Mero,4,0.003311258,0,7,0.00025857,0.000980162,0
Smiling-Knight,1,0.002358491,0,8,0.00078409,3.24E-06,0
Bellegere-Otherys,4,0.00255102,0.333333333,7,0.000331787,0.00121207,0
Brusco,1,0.002531646,0,7,0.000220783,0.004053143,0
Dobber,1,0.002531646,0,7,0.000392266,0.001616093,0
Mad-Huntsman,1,0.002531646,0,7,0.000535667,0.001616093,0
Meralyn,1,0.002531646,0,7,0.000231327,0.003636209,0
Pate-(Old),1,0.002358491,0,7,0.00155227,0.001616093,0
Praed,1,0.002358491,0,7,0.00243935,0.00121207,0
Ravella-Swann,1,0.003067485,0,7,0.016720324,0.002828163,0
Talea,2,0.002840909,0,7,0.000597484,0.0016247,0
Ternesio-Terys,7,0.003546099,6.10676519,7,0.000812566,0.002030303,0
Thoros-of-Myr,3,0.003154574,0,6,0.000547601,0.022707946,1
Umma,1,0.003067485,0,7,0.000300826,0.002424139,0
Vayon-Poole,5,0.003125,1.466666667,6,0.000220023,0.017560817,1
Waif,2,0.003076923,0,7,0.007373233,0.008175599,1
Weese,1,0.002604167,0,7,0.003625629,0.009739906,0
Yorko-Terys,2,0.003215434,0,7,0.000496164,0.002424139,0
Red-Oarsman,3,0.003246753,0,7,0.000778986,6.48E-05,0
Rolfe-the-Dwarf,2,0.003225806,0,7,0.00034614,5.34E-05,0
Sybelle-Glover,3,0.003289474,0,7,0.002301441,5.64E-05,0
Torgon-Greyiron,1,0.00310559,0,7,0.000343224,5.34E-05,0
Tristifer-Botley,2,0.003215434,0,7,0.000289102,0.000285892,0
Tycho-Nestoris,1,0.003205128,0,6,0.000224238,0.008567853,0
Wex-Pyke,5,0.003676471,25.72425801,7,0.000834508,0.002347434,0
Porridge,4,0.003703704,0,7,0.000533772,0.000580583,0
Ygritte,3,0.003236246,0,6,0.000278577,0.040044752,1
Frenken,1,0.002469136,0,8,0.000248605,7.12E-05,0
Larraq,19,0.004587156,443.0135843,7,0.000233564,0.000396783,0
Skahaz-mo-Kandaq,6,0.003831418,3.495468214,7,0.015232918,0.006388539,0
Steelskin,4,0.002695418,105,7,0.00081474,0.000446739,0
Widower,6,0.003194888,3.389760739,7,0.00041059,0.000396783,0
Xaro-Xhoan-Daxos,14,0.003968254,350.6873758,7,0.001100033,0.002930169,1
Spotted-Cat,7,0.003663004,8.556744846,7,0.002095285,0.000343646,0
Oznak-zo-Pahl,4,0.003257329,0.583333333,7,0.000255738,0.00041357,0
Mariya-Darry,8,0.003546099,26.30650391,7,0.000220606,0.003744573,0
Tallad,18,0.004166667,272.161237,7,0.005212162,0.004690306,0
Wick-Whittlestick,20,0.0041841,148.843899,6,0.000587243,0.002517215,0
Hali,5,0.003134796,105,6,0.00446216,0.00104852,0
Howland-Reed,4,0.00255102,0.333333333,6,0.000215347,0.003377507,0
Poxy-Tym,14,0.003448276,874.8372111,6,0.002869167,0.00104852,0
Reek,5,0.003134796,312,6,0.00110902,0.001177941,0
Rickard-Stark,12,0.004347826,107.6349826,6,0.001518524,0.00148036,1
Stafford-Lannister,3,0.00310559,0,6,0.000547523,0.006577098,0
Stiv,8,0.003496503,35.15540317,6,0.000332519,0.002836068,0
Torghen-Flint,4,0.003144654,0,7,0.000452308,4.39E-06,0
Clarence-Crabb,4,0.003125,0,7,0.000245548,0.000661267,0
Illifer,12,0.003802281,32.7217293,7,0.000741937,0.001343784,0
Jeyne-Heddle,4,0.003194888,12.20809267,7,0.000756021,0.000661267,0
Narbert,3,0.002967359,1.35025641,7,0.000257157,0.00101062,0
Robar-Royce,4,0.00255102,1,7,0.000494908,0.003667286,0
Selwyn-Tarth,24,0.004524887,556.1852523,7,0.001729903,0.000661267,0
Timeon,6,0.003731343,131.1036732,7,0.001929448,0.001827364,0
Vyman,18,0.004149378,141.5407634,7,0.000539317,0.006536548,0
Walton,4,0.00295858,2.261904762,7,0.000648561,0.011784473,0
Willow-Heddle,26,0.004524887,1279.753353,7,0.000501595,0.000962795,0
Vardis-Egen,2,0.003257329,3.20799062,7,0.000716319,0.014754492,0
Willis-Wode,6,0.002717391,12.96584412,7,0.00043193,0.008197006,0
Varamyr,6,0.003584229,106.9588272,6,0.000413608,0.003986852,0
Lucifer-Long,9,0.003676471,21.0398865,9,0.001229904,2.43E-07,0
Donnel-Waynwood,5,0.003164557,3.673192663,7,0.000280012,0.001356075,0
Masha-Heddle,2,0.002808989,0,7,0.000589354,0.002260125,0
Moreo-Tumitis,10,0.003703704,84.67234484,7,0.0008306,0.001356075,0
Mychel-Redfort,12,0.003378378,40.49072503,7,0.001296439,0.001356075,0
Robin-Ryger,5,0.003194888,11.08691003,7,0.001146709,0.006683381,0
Tytos-Blackwood,4,0.003460208,47.90724047,7,0.000916235,0.00563169,0
Utherydes-Wayn,7,0.003412969,1.441374269,6,0.000432125,0.002857051,0
Wendel-Manderly,2,0.002538071,0,6,0.001859237,0.006100891,1
Garth-Tyrell,4,0.003508772,3.470318304,7,0.003806192,0.002965404,0
Mark-Mullendore,7,0.003333333,108.9634921,7,0.001044808,0.002965404,0
Melara-Hetherspoon,5,0.003558719,4.651775284,7,0.000703672,0.00673384,0
Robert-Strong,4,0.003095975,0,6,0.000214777,0.004504896,0
Senelle,8,0.003921569,23.52841297,7,0.000520339,0.009579383,0
Unella,6,0.003355705,40.69501861,7,0.000221467,0.013221179,0
Vylarr,2,0.003115265,0,7,0.001308197,0.009256115,0
Willas-Tyrell,6,0.003571429,4.244047619,7,0.001054806,0.017127502,0
Small-Paul,25,0.004608295,706.5572832,6,0.000235274,0.003889862,0
Ghael,18,0.004716981,1165.602517,7,0.01857171,0.000701341,0
Coratt,3,0.003246753,0,8,0.001187249,3.47E-05,0
Thoren-Smallwood,4,0.003378378,1.46337185,6,0.005611278,0.005319857,0
Shadrich,15,0.003623188,179.5971781,7,0.000231146,0.001781435,0
Kurz,13,0.003937008,78.81308256,8,0.000578963,5.71E-07,0
Tarber,26,0.004807692,705.1985624,8,0.001523918,4.28E-07,0
Sallor,5,0.003508772,6.96957758,8,0.000255395,2.95E-05,0
Eroeh,1,0.002358491,0,7,0.00025028,0.000695257,0
Ezzara,14,0.004524887,571.5247305,7,0.000538829,0.000260721,0
Lynesse-Hightower,5,0.00330033,3.886829837,7,0.00031666,0.000260721,0
Lysono-Maar,36,0.004830918,1101.384972,7,0.000618048,0.000260721,0
Pono,22,0.004424779,364.7212196,7,0.000466959,0.000773062,0
Qezza,4,0.003521127,32.8242342,7,0.002935212,0.00057198,0
Quaithe,7,0.003355705,5.060887723,7,0.001197025,0.000955979,0
Rhaegel-Targaryen,3,0.003508772,87.06103763,7,0.000373823,0.000434536,1
Symon-Stripeback,8,0.003484321,18.21525448,7,0.000785863,0.000348728,0
Yurkhaz-zo-Yunzak,1,0.003067485,0,7,0.006068826,0.000347629,0
Val,4,0.003095975,0,6,0.000235553,0.033270653,0
Lanna-(Happy-Port),4,0.003115265,0.333333333,7,0.000243754,4.11E-05,0
Torrhen-Karstark,2,0.00310559,0,6,0.000397176,0.005327064,1
Godric-Borrell,5,0.003412969,10.71920465,7,0.000602638,0.000743642,0
Imry-Florent,6,0.003584229,223.2348268,7,0.002068712,0.000247881,0
Matthos-Seaworth,1,0.00210084,0,7,0.000324751,0.000247881,0
Eustace-Brune,2,0.002808989,0,8,0.001035565,2.13E-05,0
Hugh-Hungerford,4,0.003521127,2.6254329,9,0.00064121,6.47E-09,0
Mag-Mar-Tun-Doh-Weg,2,0.003164557,0,6,0.000430526,0.001558886,1
Ogo,7,0.003731343,6.400940824,7,0.000312001,0.000188799,0
Rhaego,4,0.002949853,0.375746606,7,0.000599178,8.57E-05,1
Jacks,5,0.003484321,16.67748923,7,0.00159731,0.003105316,0
Joss,6,0.003322259,0,7,0.002083663,0.003881645,0
Maron-Greyjoy,4,0.003311258,0,7,0.00031696,0.002328987,0
Porther,1,0.002358491,0,7,0.00025857,0.003105316,0
Tobho-Mott,4,0.00255102,0.333333333,7,0.00078409,0.005434303,0
Tregar,1,0.002531646,0,7,0.000331787,0.003105316,0
Varly,1,0.002531646,0,7,0.000220783,0.003105316,0
Willam-Dustin,1,0.002531646,0,6,0.000392266,0.005442089,0
Wyl-(guard),1,0.002531646,0,7,0.000535667,0.00451162,0
Wylla,1,0.002358491,0,7,0.000231327,0.002328987,0
Watt,1,0.002358491,0,7,0.00155227,8.20E-05,0
Forley-Prester,1,0.003067485,0,7,0.00243935,0.000269379,0
Walder-Rivers,2,0.002840909,0,6,0.016720324,0.004437661,1
Steffon-Varner,7,0.003546099,6.10676519,8,0.000597484,3.47E-08,0
Sawane-Botley,3,0.003154574,0,8,0.000812566,5.69E-06,0
Jonquil,1,0.003067485,0,8,0.000547601,1.90E-05,0
Will-(prologue),5,0.003125,1.466666667,7,0.000300826,1.00E-05,1
Murch,2,0.003076923,0,9,0.000220023,2.13E-09,0
Leonette-Fossoway,1,0.002604167,0,8,0.007373233,9.20E-05,0
Merrit,2,0.003215434,0,7,0.003625629,0.000136211,0
Terrance-Lynderly,3,0.003246753,0,8,0.000496164,0.000160623,0
Oswell-Whent,2,0.003225806,0,7,0.000778986,2.77E-05,0
Raymun-Redbeard,3,0.003289474,0,7,0.00034614,7.32E-06,0
Walgrave,1,0.00310559,0,8,0.002301441,1.94E-07,0
Todder,2,0.003215434,0,6,0.000343224,0.007187975,0
Rory,1,0.003205128,0,6,0.000289102,0.002830901,0
Spare-Boot,5,0.003676471,25.72425801,6,0.000224238,0.002539236,0
Weeper,4,0.003703704,0,6,0.000834508,0.001945615,0
Myles-Toyne,3,0.003236246,0,7,0.000533772,0.000496762,0
Marghaz-zo-Loraq,1,0.002469136,0,8,0.000278577,7.70E-05,0
Mebble,19,0.004587156,443.0135843,8,0.000248605,0.000143005,0
Sigfryd-Harlaw,6,0.003831418,3.495468214,8,0.000233564,5.07E-07,0
Joy-Hill,4,0.002695418,105,7,0.015232918,0.001775769,0
Lewys-Piper,6,0.003194888,3.389760739,7,0.00081474,0.001775769,0
Ronnet-Connington,14,0.003968254,350.6873758,7,0.00041059,0.002693177,0
Shitmouth,7,0.003663004,8.556744846,7,0.001100033,0.001775769,0
Tysha,4,0.003257329,0.583333333,7,0.002095285,0.016321231,0
Urswyck,8,0.003546099,26.30650391,7,0.000255738,0.006511151,0
Wylis-Manderly,18,0.004166667,272.161237,7,0.000220606,0.002900859,0
Zollo,20,0.0041841,148.843899,7,0.005212162,0.001905555,0
Nyessos-Vhassar,5,0.003134796,105,7,0.000587243,0.000163828,0
Matthar,4,0.00255102,0.333333333,6,0.00446216,0.001397065,0
Othor,14,0.003448276,874.8372111,6,0.000215347,0.002328442,0
Soren-Shieldbreaker,5,0.003134796,312,6,0.002869167,0.001397065,0
Tom-Barleycorn,12,0.004347826,107.6349826,6,0.00110902,0.001862754,0
Ulmer,3,0.00310559,0,6,0.001518524,0.001397065,0
Wun-Weg-Wun-Dar-Wun,8,0.003496503,35.15540317,6,0.000547523,0.00543267,1
Zei,4,0.003144654,0,6,0.000332519,0.001397065,0
Willem-Lannister,4,0.003125,0,6,0.000452308,0.001767153,0
Softfoot,12,0.003802281,32.7217293,7,0.000245548,9.04E-06,0
Urzen,4,0.003194888,12.20809267,7,0.000741937,0.000402289,0
Torwold-Browntooth,3,0.002967359,1.35025641,9,0.000756021,6.41E-10,0
Trystane-Martell,4,0.00255102,1,7,0.000257157,0.001601955,0
Yezzan-zo-Qaggaz,24,0.004524887,556.1852523,7,0.000494908,0.018616815,0
Quill,6,0.003731343,131.1036732,8,0.001729903,7.76E-08,0
Rosey,18,0.004149378,141.5407634,8,0.001929448,1.74E-07,0
Shortear,4,0.00295858,2.261904762,8,0.000539317,1.88E-06,0
Ragwyle,26,0.004524887,1279.753353,7,0.000648561,0.000125581,0
Xhondo,2,0.003257329,3.20799062,7,0.000501595,0.00297975,0
Yellow-Dick,6,0.002717391,12.96584412,7,0.000716319,0.000896018,0
Rollam-Westerling,6,0.003584229,106.9588272,6,0.00043193,0.001936577,0
Torbert,9,0.003676471,21.0398865,8,0.000413608,1.24E-05,0
Steffon-Baratheon,5,0.003164557,3.673192663,6,0.001229904,0.002196374,0
Rugen,2,0.002808989,0,8,0.000280012,5.59E-06,0
Rolph-Spicer,10,0.003703704,84.67234484,6,0.000589354,0.002396734,0
Tristifer-IV-Mudd,12,0.003378378,40.49072503,6,0.0008306,0.00143804,0
Walda-Frey-(daughter-of-Merrett),5,0.003194888,11.08691003,7,0.001296439,0.00066962,1
Theobald,4,0.003460208,47.90724047,7,0.001146709,0.001157692,0
Ulf-son-of-Umar,7,0.003412969,1.441374269,8,0.000916235,0.000147474,0
William-Foxglove,2,0.002538071,0,6,0.000432125,0.001254069,0
Werlag,4,0.003508772,3.470318304,7,0.001859237,0.000401005,0
Willow-Witch-eye,7,0.003333333,108.9634921,7,0.003806192,0.000532422,0
Wulfe,5,0.003558719,4.651775284,8,0.001044808,6.34E-06,0
